ProjectCoCID,ProjectID,CoCCode,Geocode,Address1,Address2,City,State,ZIP,GeographyType,DateCreated,DateUpdated,UserID,DateDeleted,ExportID
1,1,"Default","000000",,,,,,99,2022-06-08 07:56:59,2022-06-08 07:56:59,27,,5
2,2,"Default","000000",,,,,,99,2022-06-15 13:29:41,2022-06-15 13:29:41,27,,5
3,3,"Default","000000",,,,,,99,2022-06-15 14:09:41,2022-06-15 14:09:41,27,,5
4,4,"Default","000000",,,,,,99,2022-06-16 09:42:14,2022-06-16 09:42:14,28,,5
6,6,"Default","000000",,,,,,99,2022-06-27 10:34:07,2022-06-27 10:34:07,27,,5
